XID,Reg.,State
r30998,PRM/KA/RERA/1251/309/PR/171014/000565,Karnataka
r60161,PRM/KA/RERA/1250/303/PR/171016/000633,Karnataka
r64598,PRM/KA/RERA/1251/309/PR/170915/000219,Karnataka
r250319,PRM/KA/RERA/1250/303/PR/170916/000497,Karnataka
r263209,PRM/KA/RERA/1251/309/PR/171014/000407,Karnataka
r409323,PRM/KA/RERA/1251/310/PR/160223/005726,Karnataka
r409341,PRM/KA/RERA/1251/446/PR/250423/005893,Karnataka
r410150,PRM/KA/RERA/1251/472/PR/070323/005769,Karnataka
r410244,PRM/KA/RERA/1251/446/PR/090523/005918,Karnataka
r410399,PRM/KA/RERA/1251/308/PR/150523/005931,Karnataka
r410494,PRM/KA/RERA/1251/310/PR/090523/005916,Karnataka
r306221,PRM/KA/RERA/1251/308/PR/090623/005987,Karnataka
r306221, PRM/KA/RERA/1251/308/PR/090623/005987,Karnataka
r368250,PRM/KA/RERA/1254/465/PR/220623/006010,Karnataka
r412072,PRM/KA/RERA/1251/310/PR/270623/006023,Karnataka
r413380,PRM/KA/RERA/1250/303/PR/300823/006200,Karnataka
r413381,PRM/KA/RERA/1251/446/PR/040823/006113,Karnataka
r413382,TOR/PRM/KA/RERA/1251/309/PR/221116/000068,Karnataka
r413679,PRM/KA/RERA/1251/308/PR/270723/006099,Karnataka
r396682,PRM/KA/RERA/1251/446/PR/240723/006088,Karnataka
r413742,PRM/KA/RERA/1251/309/PR/110823/006164,Karnataka
r413742,PRM/KA/RERA/1251/309/PR/110823/006165,Karnataka
r413742,PRM/KA/RERA/1251/309/PR/180823/006187,Karnataka
r414367,PRM/KA/RERA/1251/308/PR/020923/006224,Karnataka
r415717,PRM/KA/RERA/1251/446/PR/140923/006261,Karnataka
r409008,PRM/KA/RERA/1251/446/PR/220923/006282,Karnataka
r409008,PRM/KA/RERA/1251/446/PR/200923/006269,Karnataka
r409008,PRM/KA/RERA/1251/446/PR/200923/006270,Karnataka
r410494,PRM/KA/RERA/1251/310/PR/090523/005912,Karnataka
r376451,PRM/KA/RERA/1251/309/PR/280922/005282 ,Karnataka
r302479,PRM/KA/RERA/1251/310/PR/171023/006329,Karnataka
r417614,PRM/KA/RERA/1251/310/PR/171023/006341,Karnataka
r417618,PRM/KA/RERA/1257/334/PR/101023/006310,Karnataka
r766,PRM/KA/RERA/1251/310/PR/041123/006369,Karnataka
r418589,PRM/KA/RERA/1268/378/PR/091123/006385,Karnataka
r418697,PRM/KA/RERA/1250/303/PR/041123/006373,Karnataka
r396682,PRM/KA/RERA/1251/308/PR/271023/006364,Karnataka
r419023,TOR/PRM/KA/RERA/1251/446/PR/230419/001674,Karnataka
r419500,PRM/KA/RERA/1251/309/PR/271123/006440,Karnataka
r418789,PRM/KA/RERA/1251/309/PR/271123/006444,Karnataka
r385301,PRM/KA/RERA/1251/308/PR/210122/004648,Karnataka
r420161,PRM/KA/RERA/1251/446/PR/221123/006419,Karnataka
r420343,PRM/KA/RERA/1251/309/PR/181223/006491,Karnataka
r367669,PRM/KA/RERA/1251/310/PR/071223/006454,Karnataka
r420666,PRM/KA/RERA/1251/446/PR/141223/006468,Karnataka
r421123,PRM/KA/RERA/1251/310/PR/291223/006517,Karnataka
r421768,PRM/KA/RERA/1251/446/PR/151223/006487,Karnataka
r421791,PRM/KA/RERA/1251/308/PR/181223/006499,Karnataka
