state,unmatched_registration_number
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA00412/111017
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA00491/EX1/A1M/290419
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA01370/200118
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA03667/A1M/200319
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA03825/251018
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA04717/220119
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA05773/230719
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA06114/260919
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA08533/010621
Gujarat,PR/GJ/AHMEDABAD/AHMEDABADCITY/AUDA/MAA08656/240621
