Updated Projectid,Registration Number,Builder Name,Project Category,Project Name,State,District,Project Registration Date,Declared Date Of Completion,Tehsil,Total area in round figure (Sq.mt.),Latitude,Longtitude,Architect Name
#N/A,UPRERAPRJ13686,REAL IMAGE DEVELOPERS PVT. LTD.,Residential,RUDRAKSH APARTMENTS,Uttar Pradesh,Bareilly,18-10-2017,3/3/2021,Bareilly,4572,28.375593,79.461016,NAND KISHORE
R15378,UPRERAPRJ6721,SOLITAIRE REALINFRA PRIVATE LIMITED,Residential,SOLITAIRIAN CITY - (SOLI-)PHASE-2,Uttar Pradesh,Gautam Buddha Nagar,31-07-2017,31-12-2020,Gautam Buddha Nagar,28213,28.358191,77.53099,VISHAL SHARMA
#N/A,UPRERAPRJ8960,APEX INFRAVENTURES PVT. LTD.,Residential,APEX COURT,Uttar Pradesh,Gautam Buddha Nagar,10/8/2017,30-06-2019,Gautam Buddha Nagar,4740,28.3356,77.2905,Gian.P. Mathur
#N/A,UPRERAPRJ986676,S. J. P. HOTELS & RESORTS PVT LTD,Commercial,MIGSUN JANPATH,Uttar Pradesh,Lucknow,23-09-2021,10/12/2024,Sarojini Nagar,7373,28.42624,77.10519,VISHAL MITTAL
#N/A,UPRERAPRJ9425,DOLPHIN COLONIZERS PVT LTD,Residential,ANAND DHAM T1,Uttar Pradesh,Kanpur Nagar,13-08-2017,17-03-2019,Kanpur,2143,26 32 58,26 32 59,RICHA GUPTA
R6128,UPRERAPRJ3142,IMPERIA STRUCTURES LTD,Residential,MIRAGE PHASE I,Uttar Pradesh,Gautam Buddha Nagar,28-07-2017,31-03-2021,Gautam Buddha Nagar,10242,"28.3472222,77.52333333333333",5.25E+13,"ACPL Design Ltd, Ashok Narayan Pandit"
#N/A,UPRERAPRJ185345,"M/S SHALIMAR KSMB PROJECTS
ARIF ZAMIR FAROOQUI
MOHAMMAD ZAKARIA",Residential,GARDEN BAY IRIS VILLAS,Uttar Pradesh,Lucknow,28-07-2021,30-05-2023,Lucknow,3266.36,26.920884,80.884927,Mr. Rudraksha Charan
R378409,UPRERAPRJ677294,STAR LANDCRAFT PRIVATE LIMITED,Residential,ACE STARLIT,Uttar Pradesh,Gautam Buddha Nagar,25-05-2021,30-04-2025,Gautam Buddha Nagar,27496,28.44513904,77.47142836,Labib Alam
R1084,UPRERAPRJ8592,PANCHSHEEL BUILDTECH PVT. LTD.,Residential,"PANCHSHEEL GREENS - II (TOWER - D1,D2& E5)",Uttar Pradesh,Gautam Buddha Nagar,12/8/2017,31-08-2021,Select,8922,"28,36,22","77,27,33",Oasis Designs incorporated
R265239,UPRERAPRJ8678,PANCHSHEEL BUILDTECH PVT. LTD.,Residential,"PANCHSHEEL PRIME 390 PHASE - 2 (BLOCK - 19 TO 23,2",Uttar Pradesh,Ghaziabad,12/8/2017,31-08-2020,Ghaziabad,6184,"28,40,38","77,29,11",Gaurav Singla
#N/A,UPRERAPRJ3843,JAYPEE INFRATECH LIMITED,Residential,"JAYPEE GREENS KASA ISLES, NOIDA",Uttar Pradesh,Gautam Buddha Nagar,28-07-2017,31-03-2020,Gautam Buddha Nagar,63561,28^ 30' 42'',77^ 23' 02'',M/s ARCOP ASSOCIATES PVT. LTD
#N/A,UPRERAPRJ14749,UPPAL CHADHA HI-TECH DEVELOPERS PVT. LTD.,Residential,SECTOR-5-EWS/LIG-PHASE 02,Uttar Pradesh,Ghaziabad,31-01-2018,31-12-2021,Ghaziabad,12930,28.64348,77.51148,Niraj kumar nanda
#N/A,UPRERAPRJ10324,TIRUPATI BUILDERS,Residential,GORAKHDHAM ENCLAVE,Uttar Pradesh,Gorakhpur,13-08-2017,3/6/2019,Gorakhpur,2987,"26,77,61","83,36,00",RAKESH KUMAR
#N/A,UPRERAPRJ4119,OMAXE LIMITED,Residential,GH-7 (EWS & LIG) AT OMAXE INTEGRATED TOWNSHIP,Uttar Pradesh,Lucknow,29-07-2017,31-12-2020,Lucknow,11550,26.805472,81.000536,PRAKASH KUMAR 
R265239,UPRERAPRJ8687,PANCHSHEEL BUILDTECH PVT. LTD.,Residential,"PANCHSHEEL PRIME 390 PHASE -4 (BLOCK-24,25,31 TO 3",Uttar Pradesh,Ghaziabad,12/8/2017,31-08-2022,Ghaziabad,7422,"28,40,38","77,29,11",Gaurav Singla
#N/A,UPRERAPRJ877113,PEYUSH INFRAREALTORS LLP,Residential,PEARL GREEN,Uttar Pradesh,Moradabad,28-07-2023,30-06-2027,Moradabad,39635.08,28.911571,78.720462,Vinayak Gupta
