XID,Project Name,City,Housing.com Link
r430191,Adani Lushlands,Gurgaon,https://housing.com/in/buy/projects/page/329111-adani-lushlands-by-adani-realty-in-gwal-pahari
r428100,Avittam Adiyogi Thiruvanmiyur,Chennai South,https://housing.com/in/buy/projects/page/328681-avittam-adiyogi-by-avittam-homes-in-thiruvanmiyur
r430665,Golden Era Home,Chandigarh,https://housing.com/in/buy/projects/page/328756-golden-era-homes-by-goyal-infra-group-in-nagla
r408715,Aksara Green Scapes,Hyderabad,https://housing.com/in/buy/projects/page/318222-aksara-green-scapes-by-aksara-constructions-and-others-in-bowrampet
r435871,Mmirari House,North Goa,https://housing.com/in/buy/goa/property-in-north_goa_1
r373148,Elysian by Oberoi Realty,Western Mumbai,https://housing.com/in/buy/projects/page/253829-elysian-by-oberoi-realty-limited-in-goregaon-east
r14640,Neelam Senroofs,Central Mumbai,https://housing.com/in/buy/projects/page/52185-neelam-senroofs-phase-ii-by-neelam-realtors-in-mulund-east
r19674,Skytech Colours Avenue,Greater Noida,https://housing.com/in/buy/projects/page/3434-skytech-colours-avenue-by-skytech-group-in-noida-extension
r424985,Mukurthi Tiara,Coimbatore,https://housing.com/buy-apartments-in-koundampalayam-coimbatore-for-sale-srpid-M1P2ubibdmckdkutmp5
r416277,Shreekhetra Greenpark,Bhubaneswar,https://housing.com/buy-shreekhetra-greenpark-by-sri-jagannath-promoters-and-builders-in-khandagiri-bhubaneswar-pid-311530
r416159,Lodha Mirabelle,Bangalore North,https://housing.com/in/buy/projects/page/309029-lodha-mirabelle-by-lodha-group-in-sinthan-nagar
r18410,Experion The Westerlies,Gurgaon,https://housing.com/in/buy/projects/page/77087-experion-the-westerlies-plots-by-experion-developers-in-sector-108
