XID,Project Name,City,Housiing.com Link
R177855,RWA Greater Kailash 3,South Delhi,https://housing.com/in/buy/new_delhi/flat-greater_kailash_i
R12558,Mahavir Residency,Navi Mumbai,https://housing.com/in/buy/projects/page/25809-mahavir-residency-by-mahavir-developers-in-airoli
R18882,Neel Sidhi Atlantis,Navi Mumbai,https://housing.com/rent-neelsidhi-atlantis-for-rent-in-nerul-navi-mumbai-rpid-AG4oy7AH0
R8672,Paradise Sai Fortune,Navi Mumbai,https://housing.com/in/buy/paradise-sai-fortune-for-resale-in-ulwe-navi-mumbai-AG2j3AH0
R50740,Dharmadev Neelkanth Elegance,Ahmedabad West,https://housing.com/buy-dharmadev-neelkanth-elegance-by-dharmadev-infrastructure-ltd-in-vejalpur-ahmedabad-pid-48164
R403668,Propshell PL Aero City,Kanchipuram,https://housing.com/in/buy/projects/page/292388-propshell-pl-aerocity-by-propshell-in-sriperumbudur
R68526,Nahar Jonquille and Jamaica,Central Mumbai,https://housing.com/in/buy/projects/page/53982-nahar-jonquille-and-jamaica-by-nahar-group-in-powai
R95756,Ruchi Lifescapes,Indore,https://housing.com/buy-vishal-ruchi-lifescapes-premium-by-vishal-resorts-and-hotels-in-county-township-indore-pid-323360
R12450,DDA Rosewood Apartments,Delhi South West,https://housing.com/in/buy/projects/page/92637-dda-rosewood-apartment-by-dda-in-sector-13-dwarka
R114861,Varsha Balaji Heritage,Navi Mumbai,https://housing.com/in/buy/projects/page/25309-varsha-balaji-heritage-by-varsha-enterprises-in-kharghar
R466,Lodha Luxuria,Thane,https://housing.com/in/buy/projects/page/33895-lodha-luxuria-by-lodha-group-in-thane-west
R12368,AWHO Vivek Vihar,Noida,https://housing.com/rent-army-welfare-organisation-awho-vivek-vihar-for-rent-in-sector-82-noida-rpid-AG366wAH0
