XID,Project Name,City,Squareyards.com Link
R134885,Aims Green Avenue,Greater Noida,https://www.squareyards.com/greater-noida-residential-property/aims-greens-avenue/20629/project
R330323,Samriddhi Sampat Greens,Indore,https://www.squareyards.com/indore-residential-property/samriddhi-sampat-greens/315463/project
R276681,Marigold Apartment,Ahmedabad West,https://www.squareyards.com/sale/3-bhk-flat-in-saanvi-nirman-stellar-ahmedabad
R29232,Prateek Fedora,Noida,https://www.squareyards.com/noida-residential-property/prateek-fedora/761/project
R223869,Magarpatta City Iris,Pune East,https://www.squareyards.com/pune-residential-property/magarpatta-city-iris/25022/project
R15402,Apex Athena,Noida,https://www.squareyards.com/noida-residential-property/apex-athena/663/project
R14748,Galaxy Orion,Navi Mumbai,https://www.squareyards.com/sale/resale-properties-in-bks-galaxy-orion-navi-mumbai
R12782,Shree Awas,Delhi South West,https://www.squareyards.com/sale/4-bhk-for-sale-in-sector-22-dwarka-delhi
R57578,Kalpataru Horizon,Mumbai South,https://www.squareyards.com/mumbai-residential-property/kalpataru-horizon/3598/project
R478,Kalpataru Hills,Thane,https://www.squareyards.com/sale/resale-properties-in-kalpataru-hills-phase-ii-thane
R223221,Railway Line Staff CGHS,Delhi South West,https://www.squareyards.com/sale/4-bhk-for-sale-in-sector-22-dwarka-delhi
R814,Pride Aloma County,Pune West,https://www.squareyards.com/rent/property-for-rent-in-pride-aloma-county-pune
R289195,UPAEVP Himalaya Enclave,Lucknow,https://www.squareyards.com/sale/resale-properties-in-upaevp-himalaya-enclave-lucknow
R39028,Balaji Heights,Navi Mumbai,https://www.squareyards.com/sale/2-bhk-flat-in-balaji-heights-kharghar-navi-mumbai
R12478,CGHS Chanakya Apartments,Delhi South West,https://www.squareyards.com/rent/3-bhk-for-rent-in-uttam-nagar-delhi
R8420,Geomatrix Silver Crest,Navi Mumbai,https://www.squareyards.com/rent/property-for-rent-in-geomatrix-silvercrest-navi-mumbai
R8880,Gagan Arena,Pune South,https://www.squareyards.com/sale/resale-properties-in-gagan-arena-pune
R335249,Concorde Auriga,Bangalore East,https://www.squareyards.com/bangalore-residential-property/concorde-auriga/10646/project
R263605,Hiranandani Lavinia,Thane,https://www.squareyards.com/thane-residential-property/hiranandani-lavinia/3386/project/floor-plans
